fitur : dashboard,,,,,,,
No,Nama Modul,Tipe,Deskripsi,Kelompok,Input,Output,I.S. & F.S.
1,KartuMetrikDashboard,Procedure,"Menampilkan keseluruhan destinasi wisata yang terdaftar, rata-rata rating keseluruhan, daftar destinasi wisata dengan performa rating tertinggi",Dashboard,metrik_data,-,"I.S: Data hitungan ada.
F.S: Kartu angka tampil."
2,_render_distribution_charts & _render_kabupaten_chart,Procedure,"Menampilkan grafik sebaran kategori/wilayah, total wisata per kabupaten/kota, total rating wisata.",Dashboard,data_stats,-,"I.S: Data rekap ada.
F.S: Grafik tampil di layar."
3,refresh_tabel,Procedure,Menampilkan list tabel utama untuk kelola destinasi wisata.,Kelola Data,list_wisata,-,"I.S: Data JSON terbaca.
F.S: Tabel tampil di layar."
4,JabarExploreApp,Procedure,"Menampilkan jendela utama sebagai wadah integrasi seluruh fitur, mengatur navigasi antar halaman",GUI,-,-,"I.S: Aplikasi pertama kali dijalankan
F.S: Jendela utama tampil dengan sidebar dan Dashboard sebagai tampilan awal"
5,HalamanDashboard,Procedure,"Menjadi pusat tampilan utama, menggabungkan kartu metrik dan grafik, serta menerima interaksi user untuk navigasi ke fitur lain",Dashboard,"metrik_data, data_stats",tampilan dashboard di layar,"I.S: Data metrik dan statistik tersedia
F.S: Dashboard tampil dan siap digunakan"
Fitur: Daftar Wisata,,,,,,,
No,Nama Modul,Tipe,Deskripsi,Kelompok,Input,Output,I.S. & F.S.
1,proses_filter,Function,"Menyaring daftar keseluruhan destinasi wisata berdasarkan parameter filter seperti kata kunci pencarian, kategori, batas minimum rating, dan lokasi (Kota/Kabupaten).",Kelola Data,"data_wisata, keyword, kota_terpilih, kategori_terpilih, rating_terpilih",hasil_filter,"I.S. (Initial State): Terdapat kumpulan data destinasi wisata mentah dan pengguna telah menginputkan kriteria filter pencarian.
F.S. (Final State): Mengembalikan daftar baru berisi destinasi wisata yang atributnya sesuai dengan kriteria yang diminta pengguna."
2,hitung_rata_rating,Function,Kalkulasi rata-rata nilai dari kumpulan rating pengunjung pada destinasi terkait.,Kelola Data,list_rating,float,"I.S: Data rating mentah tersedia.

F.S: Didapat angka rata-rata (misal 4.5)."
3,render_row,Procedure,"Membuat satu komponen visual antarmuka (baris tabel) yang memuat elemen foto utama, nama tempat, lokasi, harga tiket, jam operasional, rating, dan tombol aksi.",GUI,"foto, nama, lokasi, harga, jam, rating",Objek komponen visual,"I.S.: Atribut data untuk satu destinasi wisata sudah diekstrak dan siap divisualisasikan.

F.S.: Terbentuknya satu baris tabel destinasi wisata pada antarmuka yang siap ditampilkan ke layar."
4,DaftarWisata,Procedure,"Memanggil refresh_tabel untuk mendapatkan data, melakukan perulangan (looping) pada data tersebut, dan memanggil render_row secara berulang agar semua baris tabel tersusun rapi.",GUI,-,-,"I.S.: Pengguna membuka halaman ""Kelola Data Wisata"" dan layar masih kosong/sedang memuat.

F.S.: Seluruh destinasi wisata yang ada di dalam database berhasil dirender dan tampil berjejer di halaman antarmuka pengguna."
Fitur: Detail Wisata,,,,,,,
No,Nama Modul,Tipe,Deskripsi,Kelompok,Input,Output,I.S. & F.S.
1,halaman_detail_wisata,Procedure,"Mengatur tata letak dan menampilkan data objek wisata ke elemen UI (Label, ImageBox, dll).",GUI,data_wisata,-,"
I.S: Klik salah satu destinasi.

F.S: Layar detail wisata muncul."
2,_buka_popup_foto,Procedure,Memunculkan jendela popup untuk melihat galeri foto wisata secara fullscreen dengan navigasi next/prev.,GUI,index_foto,-,"I.S: Klik salah satu foto di galeri.

F.S: Jendela popup foto muncul di depan."
3,ambil_detail_spesifik,Function,Mengambil record lengkap satu destinasi dari JSON berdasarkan ID yang dipilih.,Kelola Data,id_wisata,dict_detail,"I.S: ID wisata diterima dari list.

F.S: Data detail siap dioper ke GUI."
4,hitung_rata_rating,Function,Kalkulasi rata-rata nilai dari kumpulan rating pengunjung pada destinasi terkait.,Kelola Data,list_rating,float,"I.S: Data rating mentah tersedia.

F.S: Didapat angka rata-rata (misal 4.5)."
5,info_card_ikon,Function,"Menampilkan label kategori wisata (gunung, pantai, dll) beserta ikon di panel samping halaman detail.",GUI,"ikon, title, isi",string,"I.S: Kategori terbaca dari JSON.

F.S: Label kategori tampil rapi di UI."
6,buka_maps,Procedure,Mengarahkan koordinat atau alamat destinasi ke browser untuk membuka Google Maps.,Utils,link,-,"I.S: Klik tombol ""Navigasi"".

F.S: Browser terbuka ke link Google Maps."
7,format_harga_idr,Function,Mengubah angka tiket menjadi format mata uang Rupiah agar mudah dibaca.,Utils,harga_int,string,"I.S: Data harga berupa angka (10000).

F.S: String harga terformat (Rp 10.000)."
