title,address,totalScore,reviewsCount,additionalInfo
Gunung Pegat,"W3VC+HGR, Srengat II, Srengat, Kec. Srengat, Kabupaten Blitar, Jawa Timur 66152, Indonesia",4.3,159,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Wisata pantai sine tulungagung,"PW9P+9MG, Jl. Pantai Sine Tulungagung, Sine, Kalibatur, Kec. Kalidawir, Kabupaten Tulungagung, Jawa Timur 66281, Indonesia",4.6,40,"{'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Pantai Watu Lepek,"HJ98+2M8, Hutan, Gajahrejo, Gedangan, Kabupaten Malang, Jawa Timur 65178, Indonesia",4.7,287,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Air Terjun Tancak,"WJP9+2HW, Area Pegunungan Argop, Suci, Kec. Panti, Kabupaten Jember, Jawa Timur 68153, Indonesia",4.5,499,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}]}"
Bromo Transit Park Tumpang,"Dusun petung sewu RT28, RT.28/RW.4, Petung Sewu, Duwet, Kec. Tumpang, Kabupaten Malang, Jawa Timur 65156, Indonesia",4.2,812,"{'Aksesibilitas': [{'Kursi khusus pengguna kursi roda': True}, {'Pintu masuk khusus pengguna kursi roda': True}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Toko taman ayu nganteb (TAN),"Pantai taman ayu, Dusun sucorejo, Tumpakrejo, Gedangan, Malang selatan, Jawa Timur 65178, Indonesia",4.4,951,"{'Opsi layanan': [{'Layanan di tempat': True}], 'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': True}, {'Tempat parkir khusus pengguna kursi roda': True}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Kartu debit': True}, {'Kartu kredit': True}, {'Pembayaran seluler dengan NFC': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Taman Nasional Meru Betiri,"Jalan Sriwijaya No.53, Area Hutan, Kranjingan, Sumbersari, Kabupaten Jember, Jawa Timur 68173, Indonesia",4.6,915,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Aktivitas': [{'Mendaki': True}], 'Fasilitas': [{'Toilet umum': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Pendakian ramah anak': True}], 'Hewan Peliharaan': [{'Anjing boleh masuk': True}]}"
Wisata kebun teh gunung gambir,"Lanasan Rt 03, RW.023, Gelang, Kec. Sumberbaru, Kabupaten Jember, Jawa Timur 68156, Indonesia",4.5,2793,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}, {'Tempat parkir gratis': True}]}"
Air Terjun Sumber Pitu Tumpang,"Krajan, Duwet Krajan, Kec. Tumpang, Kabupaten Malang, Jawa Timur 65156, Indonesia",4.4,644,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}]}"
Taman Pecut Kota Blitar,"Jl. Merdeka, Kepanjen Lor, Kec. Kepanjenkidul, Kota Blitar, Jawa Timur 66117, Indonesia",4.4,1270,"{'Keunggulan': [{'Piknik': True}], 'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet umum': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Taman bermain': True}]}"
